area_title,ai_emp_24,total_emp_24,ai_per_1000_24,ai_emp_25,total_emp_25,ai_per_1000_25,delta_emp,pct_change_emp,delta_per_1000
"Hartford-West Hartford-East Hartford, CT",560.0,592620.0,0.9449562957713206,560.0,599770.0,0.9336912483118529,0.0,0.0,-0.011265047459467659
"Harrisburg-Carlisle, PA",500.0,330750.0,1.5117157974300832,500.0,335010.0,1.4924927614101073,0.0,0.0,-0.01922303601997588
"Birmingham, AL",440.0,517920.0,0.8495520543713315,490.0,520290.0,0.9417824674700648,50.0,11.363636363636363,0.09223041309873325
"Worcester, MA",530.0,351970.0,1.505810154274512,490.0,349880.0,1.4004801646278724,-40.0,-7.547169811320755,-0.10532998964663953
"Allentown-Bethlehem-Easton, PA-NJ",430.0,370040.0,1.1620365365906389,490.0,377180.0,1.2991144811495838,60.0,13.953488372093023,0.13707794455894495
"Dayton-Kettering-Beavercreek, OH",450.0,373320.0,1.2054001928640308,470.0,372660.0,1.261203241560672,20.0,4.444444444444445,0.05580304869664121
"Lexington Park, MD",500.0,71670.0,6.976419701409236,450.0,70650.0,6.369426751592357,-50.0,-10.0,-0.6069929498168793
"Lincoln, NE",370.0,180880.0,2.0455550641309155,450.0,182620.0,2.464133172708356,80.0,21.62162162162162,0.4185781085774405
"Tucson, AZ",420.0,385930.0,1.0882802580778899,420.0,389630.0,1.0779457433975823,0.0,0.0,-0.01033451468030755
"Memphis, TN-MS-AR",250.0,620100.0,0.40316078051927107,410.0,611670.0,0.670296074680792,160.0,64.0,0.26713529416152093
"Ann Arbor, MI",320.0,217820.0,1.4691029290239646,390.0,219730.0,1.7749055659218131,70.0,21.875,0.3058026368978486
"Greensboro-High Point, NC",240.0,358650.0,0.6691760769552488,370.0,365410.0,1.0125612325880518,130.0,54.166666666666664,0.3433851556328029
"Atlantic City-Hammonton, NJ",300.0,166720.0,1.7994241842610366,360.0,168700.0,2.133965619442798,60.0,20.0,0.33454143518176127
"Knoxville, TN",250.0,418120.0,0.5979144743135942,360.0,424600.0,0.8478568064060292,110.0,44.0,0.249942332092435
"Syracuse, NY",310.0,295110.0,1.050455762258141,350.0,300130.0,1.1661613300902942,40.0,12.903225806451612,0.11570556783215324
"Palm Bay-Melbourne-Titusville, FL",290.0,242240.0,1.1971598414795244,340.0,245170.0,1.386792837622874,50.0,17.24137931034483,0.1896329961433496
"Peoria, IL",130.0,165230.0,0.7867820613690008,340.0,166020.0,2.0479460305987227,210.0,161.53846153846155,1.261163969229722
"Reno, NV",200.0,272970.0,0.7326812470234824,330.0,275680.0,1.197040046430644,130.0,65.0,0.46435879940716174
"El Paso, TX",320.0,332330.0,0.9628983239551049,320.0,339120.0,0.9436187780136824,0.0,0.0,-0.01927954594142245
"Utica-Rome, NY",260.0,117260.0,2.2172949002217295,310.0,118390.0,2.6184643973308557,50.0,19.230769230769234,0.4011694971091262
"Manchester-Nashua, NH",300.0,202320.0,1.4827995255041517,310.0,199560.0,1.55341751854079,10.0,3.3333333333333335,0.07061799303663818
"Winston-Salem, NC",260.0,273340.0,0.9511963122850663,300.0,271980.0,1.1030222810500772,40.0,15.384615384615385,0.15182596876501087
"Springfield, MA",260.0,198740.0,1.3082419241219683,300.0,201240.0,1.4907573047107932,40.0,15.384615384615385,0.18251538058882488
"Oshkosh-Neenah, WI",180.0,93760.0,1.9197952218430034,290.0,93750.0,3.0933333333333333,110.0,61.111111111111114,1.1735381114903298
"New Orleans-Metairie, LA",190.0,441250.0,0.43059490084985835,280.0,445550.0,0.6284367635506677,90.0,47.368421052631575,0.19784186270080933
"Fayetteville-Springdale-Rogers, AR",220.0,266970.0,0.8240626287597858,280.0,275180.0,1.0175158078348718,60.0,27.27272727272727,0.19345317907508608
"Davenport-Moline-Rock Island, IA-IL",290.0,179940.0,1.6116483272201845,280.0,180450.0,1.5516763646439458,-10.0,-3.4482758620689653,-0.05997196257623871
"Akron, OH",320.0,320080.0,0.999750062484379,270.0,319560.0,0.8449117536612842,-50.0,-15.625,-0.1548383088230948
"Fort Wayne, IN",300.0,224020.0,1.3391661458798323,270.0,225520.0,1.1972330613692799,-30.0,-10.0,-0.14193308451055242
"Santa Maria-Santa Barbara, CA",310.0,201750.0,1.5365551425030979,260.0,200760.0,1.2950787009364415,-50.0,-16.129032258064516,-0.24147644156665637
"Urban Honolulu, HI",300.0,443350.0,0.6766662907409495,250.0,446380.0,0.5600609346296876,-50.0,-16.666666666666664,-0.11660535611126188
"Green Bay, WI",200.0,171070.0,1.1691120593908926,240.0,174550.0,1.3749641936407906,40.0,20.0,0.205852134249898
"Kiryas Joel-Poughkeepsie-Newburgh, NY",210.0,264070.0,0.7952436853864505,240.0,268970.0,0.8922928207606796,30.0,14.285714285714285,0.0970491353742291
"Idaho Falls, ID",280.0,81000.0,3.4567901234567904,230.0,81840.0,2.8103616813294234,-50.0,-17.857142857142858,-0.6464284421273669
"Lexington-Fayette, KY",230.0,282920.0,0.8129506574296621,230.0,286910.0,0.8016451151929176,0.0,0.0,-0.011305542236744515
"Augusta-Richmond County, GA-SC",150.0,229650.0,0.6531678641410843,220.0,231930.0,0.948562066140646,70.0,46.666666666666664,0.2953942019995617
"Fresno, CA",180.0,470480.0,0.38258799523890497,220.0,476890.0,0.4613223175155696,40.0,22.22222222222222,0.07873432227666466
"Fort Collins-Loveland, CO",230.0,175790.0,1.308379316229592,220.0,169430.0,1.2984713450982708,-10.0,-4.3478260869565215,-0.009907971131321247
"North Port-Bradenton-Sarasota, FL",0.0,334550.0,0.0,210.0,339940.0,0.6177560746014003,210.0,inf,0.6177560746014003
"Chattanooga, TN-GA",160.0,269330.0,0.5940667582519585,200.0,268750.0,0.7441860465116279,40.0,25.0,0.15011928825966936
"Scranton--Wilkes-Barre, PA",180.0,254190.0,0.7081317124985248,200.0,255620.0,0.7824113919098662,20.0,11.11111111111111,0.07427967941134139
"Champaign-Urbana, IL",130.0,104620.0,1.2425922385777097,190.0,105500.0,1.8009478672985781,60.0,46.15384615384615,0.5583556287208684
"Columbia, MO",150.0,105740.0,1.4185738604123321,190.0,107680.0,1.764487369985141,40.0,26.666666666666668,0.345913509572809
"Springfield, MO",180.0,222150.0,0.8102633355840648,190.0,223030.0,0.8519033313903959,10.0,5.555555555555555,0.04163999580633104
"Reading, PA",150.0,171480.0,0.8747375787263821,190.0,174670.0,1.0877655006583844,40.0,26.666666666666668,0.21302792193200226
"Panama City-Panama City Beach, FL",180.0,87870.0,2.0484807101399793,190.0,90610.0,2.0968987970422694,10.0,5.555555555555555,0.0484180869022901
"Lakeland-Winter Haven, FL",200.0,261610.0,0.7644967700011468,190.0,265280.0,0.7162243667068757,-10.0,-5.0,-0.04827240329427107
"Lancaster, PA",200.0,250210.0,0.7993285640062349,190.0,252230.0,0.7532807358363398,-10.0,-5.0,-0.046047828169895055
"Gulfport-Biloxi, MS",130.0,158310.0,0.8211736466426631,190.0,158310.0,1.2001768681700462,60.0,46.15384615384615,0.3790032215273831
"Cedar Rapids, IA",180.0,139240.0,1.292731973570813,180.0,139260.0,1.2925463162429986,0.0,0.0,-0.00018565732781428146
"Iowa City, IA",90.0,92330.0,0.9747644319289506,170.0,93760.0,1.8131399317406145,80.0,88.88888888888889,0.8383754998116639
"Spartanburg, SC",130.0,163980.0,0.7927796072691792,170.0,165150.0,1.029367241901302,40.0,30.76923076923077,0.23658763463212285
"Bremerton-Silverdale-Port Orchard, WA",150.0,93560.0,1.6032492518170158,170.0,93740.0,1.8135267761894602,20.0,13.333333333333334,0.2102775243724444
"Waterbury-Shelton, CT",170.0,158640.0,1.0716086737266768,170.0,160710.0,1.0578059859374027,0.0,0.0,-0.01380268778927407
"Tallahassee, FL",180.0,184180.0,0.9773048105114561,160.0,186160.0,0.8594757198109153,-20.0,-11.11111111111111,-0.11782909070054082
"Wilmington, NC",150.0,186900.0,0.8025682182985554,160.0,191280.0,0.836470096194061,10.0,6.666666666666667,0.03390187789550558
"Savannah, GA",140.0,195030.0,0.7178382812900579,160.0,198360.0,0.8066142367412785,20.0,14.285714285714285,0.08877595545122063
"Spokane-Spokane Valley, WA",140.0,255370.0,0.5482241453577162,160.0,255820.0,0.6254397623328902,20.0,14.285714285714285,0.07721561697517398
"Crestview-Fort Walton Beach-Destin, FL",160.0,124720.0,1.2828736369467606,160.0,125050.0,1.2794882047181129,0.0,0.0,-0.0033854322286477334
"New Haven, CT",220.0,283810.0,0.7751664846199923,150.0,281410.0,0.5330300984328915,-70.0,-31.818181818181817,-0.24213638618710076
"Kennewick-Richland, WA",140.0,127290.0,1.0998507345431692,150.0,129490.0,1.1583906093134604,10.0,7.142857142857142,0.05853987477029121
