area,ai_emp,total_emp,ai_per_1000
"Grand Rapids-Wyoming-Kentwood, MI",520.0,561410.0,0.9262392903582053
"Bridgeport-Stamford-Danbury, CT",370.0,402330.0,0.9196430790644495
"South Bend-Mishawaka, IN-MI",120.0,131060.0,0.9156111704562796
"Jackson, MI",50.0,56310.0,0.887941751021133
"Reading, PA",150.0,171480.0,0.8747375787263821
"Pittsfield, MA",50.0,57390.0,0.8712319219376198
"Olympia-Lacey-Tumwater, WA",110.0,127360.0,0.8636934673366835
"Columbus, GA-AL",100.0,116210.0,0.8605111436193099
"Gainesville, FL",130.0,151400.0,0.8586525759577279
"Wausau, WI",60.0,70000.0,0.8571428571428571
"Kingston, NY",50.0,58400.0,0.8561643835616438
"Bismarck, ND",60.0,70140.0,0.8554319931565441
"Birmingham, AL",440.0,517920.0,0.8495520543713315
"Miami-Fort Lauderdale-West Palm Beach, FL",2360.0,2782340.0,0.8482069049792621
"Bozeman, MT",60.0,71630.0,0.8376378612313277
"Bend, OR",90.0,107570.0,0.8366644975364879
"Fayetteville-Springdale-Rogers, AR",220.0,266970.0,0.8240626287597858
"Eau Claire, WI",70.0,85190.0,0.8216926869350862
"Gulfport-Biloxi, MS",130.0,158310.0,0.8211736466426631
"Waterloo-Cedar Falls, IA",70.0,85420.0,0.8194802154062281
"Lexington-Fayette, KY",230.0,282920.0,0.8129506574296621
"Springfield, MO",180.0,222150.0,0.8102633355840648
"Wilmington, NC",150.0,186900.0,0.8025682182985554
"Lancaster, PA",200.0,250210.0,0.7993285640062349
"San Angelo, TX",40.0,50120.0,0.7980845969672786
"Kiryas Joel-Poughkeepsie-Newburgh, NY",210.0,264070.0,0.7952436853864505
"Las Vegas-Henderson-North Las Vegas, NV",890.0,1119360.0,0.7950971983990852
"Spartanburg, SC",130.0,163980.0,0.7927796072691792
"Peoria, IL",130.0,165230.0,0.7867820613690008
"Columbus, IN",40.0,50880.0,0.7861635220125787
"Grand Forks, ND-MN",40.0,51240.0,0.78064012490242
"Greeley, CO",90.0,115470.0,0.779423226812159
"Elizabethtown, KY",40.0,51330.0,0.7792713812585232
"Elkhart-Goshen, IN",100.0,128550.0,0.7779074290159471
"New Haven, CT",220.0,283810.0,0.7751664846199923
"Jefferson City, MO",60.0,78020.0,0.7690335811330429
"Kingsport-Bristol, TN-VA",90.0,117550.0,0.7656316461080391
"Lakeland-Winter Haven, FL",200.0,261610.0,0.7644967700011468
"College Station-Bryan, TX",100.0,132440.0,0.7550588945937784
"Midland, TX",90.0,119220.0,0.754906894816306
"Saginaw, MI",60.0,79670.0,0.7531065645788879
"Dalton, GA",50.0,66420.0,0.7527853056308341
"Traverse City, MI",50.0,67200.0,0.744047619047619
"Anchorage, AK",130.0,174740.0,0.7439624585097859
"Reno, NV",200.0,272970.0,0.7326812470234824
"Yuma, AZ",50.0,68990.0,0.7247427163357009
"Janesville-Beloit, WI",50.0,69210.0,0.7224389539083947
"Savannah, GA",140.0,195030.0,0.7178382812900579
"Amherst Town-Northampton, MA",50.0,70240.0,0.7118451025056948
"York-Hanover, PA",130.0,183070.0,0.71011088654613
"Tyler, TX",80.0,112810.0,0.709156989628579
"Scranton--Wilkes-Barre, PA",180.0,254190.0,0.7081317124985248
"Lawton, OK",30.0,42690.0,0.7027406886858749
"Waco, TX",90.0,129920.0,0.6927339901477833
"Corpus Christi, TX",130.0,187690.0,0.6926314667803293
"Chambersburg, PA",40.0,57940.0,0.6903693476009665
"Altoona, PA",40.0,58090.0,0.6885866758478223
"Bloomington, IN",50.0,73180.0,0.6832467887400929
"Albany, GA",40.0,58980.0,0.678195998643608
"Urban Honolulu, HI",300.0,443350.0,0.6766662907409495
